pickslip_id,parts_m,edge_freq
pickslip_8590102586,"part_8589940647,part_8589968756,part_8589980653",3
pickslip_8589973129,"part_8589935394,part_8589951786,part_8589973129",1
pickslip_8589974743,"part_8589935394,part_8589973129",1
pickslip_8590069504,"part_8590069504,part_8590069505",3
pickslip_8590134420,"part_8589939551,part_8589942076,part_8589959894,part_8590061888,part_8590069504,part_8590086149,part_8590109299",1
pickslip_8589937389,"part_8589934754,part_8589934868,part_8589934888,part_8589936087,part_8589936088,part_8589936091,part_8589936111,part_8589937078,part_8589937193,part_8589937356,part_8589937357,part_8589937359,part_8589937360,part_8589937362,part_8589937364,part_8589937365,part_8589937366,part_8589937367,part_8589937368,part_8589937369,part_8589937370,part_8589937371,part_8589937372,part_8589937373,part_8589937374,part_8589937376,part_8589937377,part_8589937378,part_8589937380,part_8589937381,part_8589937384,part_8589937385,part_8589937386,part_8589937389,part_8589937390,part_8589937391,part_8589937392,part_8589937393,part_8589937394,part_8589937395,part_8589937396,part_8589937397,part_8589937398,part_8589937400,part_8589937401,part_8589937402,part_8589937403,part_8589937404,part_8589937405,part_8589937406,part_8589937408,part_8589937409,part_8589937411,part_8589937413,part_8589937414,part_8589937416,part_8589937417,part_8589937419,part_8589937420,part_8589937450",1
pickslip_8590280059,"part_8589934843,part_8589934868,part_8589934885,part_8589936146,part_8589936389,part_8589937370,part_8589937376,part_8589937386,part_8589937417,part_8589940957,part_8589941358,part_8589952876,part_8589962838,part_8589963669,part_8589991868,part_8590003459,part_8590024927",1
pickslip_8590019280,"part_8589934868,part_8589937360,part_8589942303,part_8589972050,part_8589979612,part_8590015341,part_8590015343,part_8590015344,part_8590015350,part_8590018763,part_8590019280,part_8590019281,part_8590019285,part_8590019286",1
pickslip_8589962422,"part_8589934607,part_8589934608,part_8589934610,part_8589934611,part_8589934617,part_8589934622,part_8589934630,part_8589934827,part_8589934839,part_8589934840,part_8589934842,part_8589934843,part_8589934848,part_8589934849,part_8589934856,part_8589934857,part_8589934859,part_8589934863,part_8589934866,part_8589934870,part_8589934876,part_8589934881,part_8589934885,part_8589934906,part_8589934940,part_8589934941,part_8589934977,part_8589934996,part_8589935028,part_8589935078,part_8589935154,part_8589935189,part_8589935281,part_8589935911,part_8589935976,part_8589936047,part_8589936049,part_8589936080,part_8589936086,part_8589936125,part_8589936132,part_8589936142,part_8589936146,part_8589936158,part_8589936205,part_8589936283,part_8589936329,part_8589936338,part_8589936649,part_8589937078,part_8589937360,part_8589937377,part_8589937380,part_8589937386,part_8589937411,part_8589937420,part_8589938583,part_8589938870,part_8589939264,part_8589939471,part_8589940749,part_8589940751,part_8589940761,part_8589941351,part_8589942038,part_8589942226,part_8589942228,part_8589942309,part_8589942310,part_8589943066,part_8589943091,part_8589943212,part_8589944140,part_8589945105,part_8589945125,part_8589947679,part_8589947684,part_8589947685,part_8589948355,part_8589948913,part_8589948914,part_8589948915,part_8589949293,part_8589949500,part_8589949819,part_8589950249,part_8589950289,part_8589950293,part_8589950324,part_8589950325,part_8589950326,part_8589950327,part_8589950328,part_8589950329,part_8589950332,part_8589950334,part_8589950337,part_8589950342,part_8589952876,part_8589952877,part_8589953762,part_8589953764,part_8589953771,part_8589957554,part_8589958003,part_8589958035,part_8589958110,part_8589958127,part_8589958131,part_8589958136,part_8589958252,part_8589958254,part_8589958294,part_8589958313,part_8589958314,part_8589958654,part_8589958658,part_8589958660,part_8589958677,part_8589958679,part_8589958680,part_8589958681,part_8589958683,part_8589958688,part_8589958692,part_8589958699,part_8589958700,part_8589958703,part_8589961021,part_8589961023,part_8589961672,part_8589962145,part_8589962147,part_8589962158,part_8589962351,part_8589962367,part_8589962370,part_8589962379,part_8589962380,part_8589962381,part_8589962382,part_8589962385,part_8589962390,part_8589962392,part_8589962394,part_8589962395,part_8589962405,part_8589962408,part_8589962415,part_8589962418,part_8589962433,part_8589962436,part_8589962449",1
pickslip_8589988910,"part_8589934836,part_8589934839,part_8589934841,part_8589934849,part_8589934858,part_8589934859,part_8589934875,part_8589934880,part_8589934885,part_8589934891,part_8589934894,part_8589934996,part_8589935007,part_8589935078,part_8589935154,part_8589935198,part_8589935241,part_8589935259,part_8589935264,part_8589935328,part_8589935400,part_8589935911,part_8589936047,part_8589936080,part_8589936146,part_8589936338,part_8589937386,part_8589937411,part_8589937420,part_8589938125,part_8589940761,part_8589940794,part_8589940795,part_8589941351,part_8589942222,part_8589942309,part_8589942310,part_8589944055,part_8589944140,part_8589944607,part_8589944620,part_8589946032,part_8589947444,part_8589947669,part_8589947670,part_8589947672,part_8589947673,part_8589947679,part_8589947684,part_8589947685,part_8589947705,part_8589949293,part_8589949328,part_8589949330,part_8589950280,part_8589950503,part_8589952408,part_8589952409,part_8589952503,part_8589952515,part_8589957698,part_8589957950,part_8589958004,part_8589958020,part_8589958024,part_8589958033,part_8589958056,part_8589958108,part_8589958252,part_8589958313,part_8589958609,part_8589958692,part_8589959569,part_8589959803,part_8589959805,part_8589962145,part_8589962351,part_8589968311,part_8589988892,part_8589988894,part_8589988904,part_8589988913,part_8589988916,part_8589988934,part_8589988946",1
pickslip_8589984713,"part_8589937386,part_8589979612,part_8589982847,part_8589984711,part_8589984712",1
pickslip_8590234148,"part_8589934964,part_8589935034,part_8589942303,part_8589947011,part_8589979612,part_8589984712,part_8589998940,part_8590015341,part_8590015346,part_8590015347,part_8590015350,part_8590019173,part_8590019197,part_8590021852,part_8590055316,part_8590086270,part_8590234153",1
pickslip_8590055315,"part_8590019173,part_8590055316",1
pickslip_8590119094,"part_8589935394,part_8589951786",2
pickslip_8590124497,"part_8589936271,part_8589976939",15
pickslip_8590192889,"part_8589934682,part_8589936271,part_8589938784,part_8589976939",1
pickslip_8590275610,"part_8589939273,part_8590172130",2
pickslip_8590236179,"part_8589935661,part_8589939273",2
