part_id,part_abs_freq,type
part_8590210695,1,Consumable
part_8589966023,9,Consumable
part_8590269641,1,Consumable
part_8590223436,2,Consumable
part_8589936049,63,Consumable
part_8590181085,3,Consumable
part_8590216001,1,Consumable
part_8590086756,1,Consumable
part_8589937202,4,Consumable
part_8590148348,3,Consumable
part_8590242113,1,Consumable
part_8589979822,3,Consumable
part_8589936500,135,Part
part_8590210690,2,Consumable
part_8590032985,1,Part
part_8590201301,1,Consumable
part_8590211603,1,Consumable
part_8590216000,1,Consumable
part_8590116173,1,Consumable
part_8590237244,1,Consumable
part_8589950572,7,Part
part_8590060615,4,Consumable
part_8590092862,1,Consumable
part_8590092867,3,Consumable
part_8590242118,1,Consumable
part_8590092863,2,Consumable
part_8590242119,1,Consumable
part_8589958700,5,Consumable
part_8590080183,3,Consumable
part_8590242124,1,Consumable
part_8589944572,15,Part
part_8589940001,18,Part
part_8590238353,2,Part
part_8589934685,152,Consumable
part_8590203206,1,Consumable
part_8590202689,1,Consumable
part_8589938379,23,Consumable
part_8590056357,1,Part
part_8589950468,1,Consumable
part_8589950469,1,Consumable
part_8590093433,1,Consumable
part_8590108358,3,Consumable
part_8589970074,1,Consumable
part_8590263785,1,Consumable
part_8590264348,1,Consumable
part_8590104154,1,Consumable
part_8589942056,4,Consumable
part_8590119590,2,Consumable
part_8590263781,1,Consumable
part_8590258974,1,Consumable
part_8589935187,4,Consumable
part_8590127311,2,Consumable
part_8590248434,1,Consumable
part_8590258971,1,Consumable
part_8590146402,1,Consumable
part_8590073267,6,Part
part_8590080961,2,Consumable
part_8590031730,1,Part
part_8590279484,1,Part
part_8590278789,1,Consumable
part_8590134860,5,Consumable
part_8590158157,3,Consumable
part_8590272141,1,Consumable
part_8589969415,1,Part
part_8590034813,2,Part
part_8590121756,4,Part
part_8589939563,46,Part
part_8589949235,1,Part
part_8590080343,1,Part
part_8589943067,32,Consumable
part_8590069265,5,Part
part_8589952904,16,Part
part_8590019091,1,Non-aircraft material
part_8589971453,12,Non-aircraft material
part_8589961940,5,Part
part_8590044486,3,Part
part_8590050299,4,Part
part_8590060034,1,Part
part_8589954193,5,Part
part_8590115368,1,Consumable
